"","school_utd_rank","school_utd_id","phd_utd_rank","phd_utd_id","name","school","school_fire_id","rank","joinyear","USNWR_Name","CityState","USNWRLocation","Zip","Degrees","DepartmentSchool1","DepartmentSchool2","school_usnwr_rank","USNWR_rank_orig","usnwr_type","enrollment","phd_orig","phd","degree","phdyear","sample"
"1",1,1,1,1,"Fama, Eugene F.","University of Chicago",130,"Prof","1963","University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298","Chicago","University of Chicago","PHD",1964,"UTD"
"2",1,1,1,1,"Heaton, John C.","University of Chicago",130,"Prof","1999","University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298","Chicago","University of Chicago","PHD",1989,"UTD"
"3",1,1,2,2,"Pastor, Lubos","University of Chicago",130,"Prof","1999","University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298","Penn","University of Pennsylvania","PHD",1999,"UTD"
"4",1,1,4,4,"Zwick, Eric","University of Chicago",130,"Assoc",NA,"University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298","Harvard","Harvard University","PHD",NA,"UTD"
"5",1,1,4,4,"Ma, Yueran","University of Chicago",130,"Asst",NA,"University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298","Harvard","Harvard University","PHD",2018,"UTD"
"6",1,1,4,4,"Veronesi, Pietro","University of Chicago",130,"Prof","1997","University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298","Harvard","Harvard University","PHD",1997,"UTD"
"7",1,1,4,4,"Du, Wenxin","University of Chicago",130,"Asst",NA,"University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298","Harvard","Harvard University","PHD",2013,"UTD"
"8",1,1,4,4,"Kaplan, Steven N.","University of Chicago",130,"Prof","1988","University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298","Harvard","Harvard University","PHD",1988,"UTD"
"9",1,1,7,7,"Colonnelli, Emanuele","University of Chicago",130,"Asst",NA,"University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298","Stanford","Stanford University","PHD",NA,"UTD"
"10",1,1,7,7,"Zhang, Anthony L.","University of Chicago",130,"Asst","2019","University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298","Stanford","Stanford University","PHD",2019,"UTD"
"11",1,1,9,9,"Sufi, Amir","University of Chicago",130,"Prof",NA,"University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298","MIT","Massachusetts Inst of Tech","PHD",2005,"UTD"
"12",1,1,9,9,"Zingales, Luigi","University of Chicago",130,"Prof","1992","University of Chicago","Chicago, IL","Chicago, IL","60637-1561","MBA,PHD","Finance Faculty","Graduate School of Bus",6,"6","National Universities","59,298","MIT","Massachusetts Inst of Tech","PHD",1992,"UTD"
